page_number,page_width,page_height,shape_type,x0,x1,top,bottom,width,height,is_filled,is_stroked,fill_color_rgb,fill_color_hex,stroke_color_rgb,is_timeline_candidate
1,594.95996,841.91998,rect,0.0,594.9923467926512,0.0,842.2289277551265,594.9923467926512,842.2289277551265,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
1,594.95996,841.91998,rect,0.0,595.5000194434981,54.32097364062599,842.2289277551265,595.5000194434981,787.9079541145005,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
1,594.95996,841.91998,rect,16.245524827103104,579.254494616395,188.34655346422664,188.85422611507363,563.008969789292,0.5076726508469847,True,False,"0.8000, 0.8000, 0.8000",#CCCCCC,"0.8000, 0.8000, 0.8000",False
1,594.95996,841.91998,rect,16.245524827103104,579.254494616395,185.80819020999172,618.8529613824588,563.008969789292,433.0447711724671,True,False,"0.8000, 0.8000, 0.8000",#CCCCCC,"0.8000, 0.8000, 0.8000",False
1,594.95996,841.91998,rect,16.245524827103104,579.254494616395,370.60103511828953,371.1087077691365,563.008969789292,0.5076726508469847,True,False,"0.8000, 0.8000, 0.8000",#CCCCCC,"0.8000, 0.8000, 0.8000",False
1,594.95996,841.91998,rect,304.6035809081836,508.18031389781936,303.84209693991204,314.50322337569844,203.5767329896358,10.6611264357864,True,False,"0.9490, 0.9647, 0.9686",#F2F6F7,"0.9490, 0.9647, 0.9686",False
1,594.95996,841.91998,rect,448.782629300723,578.2391552667009,303.5882393504895,311.71100176404104,129.4565259659779,8.122762413551527,True,False,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",True
1,594.95996,841.91998,rect,448.782629300723,578.2391552667009,303.5882393504895,311.71100176404104,129.4565259659779,8.122762413551527,True,False,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",True
1,594.95996,841.91998,rect,448.782629300723,578.2391552667009,303.5882393504895,311.71100176404104,129.4565259659779,8.122762413551527,True,False,"0.8667, 0.0000, 0.1882",#DD0030,"0.8667, 0.0000, 0.1882",True
1,594.95996,841.91998,rect,448.782629300723,652.3593622903587,303.84209693991204,314.50322337569844,203.57673298963573,10.6611264357864,True,False,"0.9490, 0.9647, 0.9686",#F2F6F7,"0.9490, 0.9647, 0.9686",False
1,594.95996,841.91998,rect,304.6035809081836,508.18031389781936,317.54925476878054,328.21038120456694,203.5767329896358,10.6611264357864,True,False,"0.9490, 0.9647, 0.9686",#F2F6F7,"0.9490, 0.9647, 0.9686",False
1,594.95996,841.91998,rect,448.274981321875,651.8517143115107,317.54925476878054,328.21038120456694,203.57673298963573,10.6611264357864,True,False,"0.9490, 0.9647, 0.9686",#F2F6F7,"0.9490, 0.9647, 0.9686",False
1,594.95996,841.91998,rect,92.3964224541489,583.3158758231708,706.172657328138,707.188002629832,490.9194533690219,1.0153453016939693,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
1,594.95996,841.91998,rect,92.3964224541489,583.3158758231708,727.4949086637108,752.8785412060595,490.9194533690219,25.383632542348664,True,False,"0.5333, 0.5451, 0.5529",#888B8D,"0.5333, 0.5451, 0.5529",False
1,594.95996,841.91998,rect,92.3964224541489,583.3158758231708,752.8785412060595,753.8938865077535,490.9194533690219,1.0153453016939693,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
1,594.95996,841.91998,rect,92.3964224541489,583.3158758231708,784.3542455585717,785.3695908602657,490.9194533690219,1.0153453016939693,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
1,594.95996,841.91998,rect,92.3964224541489,115.74936439310962,674.6969529756258,706.172657328138,23.35294193896071,31.475704352512253,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
1,594.95996,841.91998,rect,92.3964224541489,93.41176775584285,674.6969529756258,706.172657328138,1.0153453016939409,31.475704352512253,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
1,594.95996,841.91998,rect,115.74936439310962,161.43990296933708,674.6969529756258,706.172657328138,45.69053857622747,31.475704352512253,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
1,594.95996,841.91998,rect,115.74936439310962,116.76470969480356,674.6969529756258,706.172657328138,1.0153453016939409,31.475704352512253,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
1,594.95996,841.91998,rect,161.43990296933708,213.22251335572824,674.6969529756258,706.172657328138,51.782610386391156,31.475704352512253,True,False,"0.9569, 0.9686, 0.9725",#F4F7F8,"0.9569, 0.9686, 0.9725",False
1,594.95996,841.91998,rect,161.43990296933708,162.45524827103105,674.6969529756258,706.172657328138,1.0153453016939693,31.475704352512253,True,False,"1.0000, 1.0000, 1.0000",#FFFFFF,"1.0000, 1.0000, 1.0000",False
