page_number,page_width,page_height,text,x0,x1,top,bottom
1,594.95996,841.91998,Transport,54.82864629147298,97.64491490548453,18.783888081337977,28.42966844743046
1,594.95996,841.91998,Infrastructure,99.51077269909734,160.70196362727123,18.783888081337977,28.42966844743046
1,594.95996,841.91998,INDUSTRY,54.82864629147298,90.01976915427707,32.99872230505321,40.106139416910764
1,594.95996,841.91998,PORTAL,91.66001976885163,118.89973140576042,32.99872230505321,40.106139416910764
1,594.95996,841.91998,Transport,16.245524827103104,104.34689789340975,69.76437466404559,89.85805919991401
1,594.95996,841.91998,Infrastructure,108.32796012330189,234.3172215649144,69.76437466404559,89.85805919991401
1,594.95996,841.91998,Projects,238.1852649128514,313.079451984595,69.76437466404559,89.85805919991401
1,594.95996,841.91998,Pipeline,316.9725959153648,390.13244363154797,69.76437466404559,89.85805919991401
1,594.95996,841.91998,This,24.875959891501626,40.497922648573045,116.76470969480363,124.88747210835515
1,594.95996,841.91998,information,42.44230432017033,85.76171816654949,116.76470969480363,124.88747210835515
1,594.95996,841.91998,was,87.68070470912879,102.47846629888024,116.76470969480363,124.88747210835515
1,594.95996,841.91998,uploaded,104.42284797047752,139.61177791175652,116.76470969480363,124.88747210835515
1,594.95996,841.91998,in,141.58408170197671,148.33257382794662,116.76470969480363,124.88747210835515
1,594.95996,841.91998,July,150.304871583264,164.87215132198654,116.76470969480363,124.88747210835515
1,594.95996,841.91998,2026,166.81654186841757,186.52893764068645,116.76470969480363,124.88747210835515
1,594.95996,841.91998,and,188.50125050981464,202.52581764522844,116.76470969480363,124.88747210835515
1,594.95996,841.91998,is,204.49812920284018,210.6164670434734,116.76470969480363,124.88747210835515
1,594.95996,841.91998,subject,212.5608409476791,240.40744753282004,116.76470969480363,124.88747210835515
1,594.95996,841.91998,to,242.3797458568374,250.02352189712133,116.76470969480363,124.88747210835515
1,594.95996,841.91998,change,251.8358926177612,279.5678473829071,116.76470969480363,124.88747210835515
1,594.95996,841.91998,(including,281.4868540326892,318.8016535620013,116.76470969480363,124.88747210835515
1,594.95996,841.91998,"staging,",320.77394378897,351.2390809809117,116.76470969480363,124.88747210835515
1,594.95996,841.91998,"funding,",353.15806118508124,384.4969381908453,116.76470969480363,124.88747210835515
1,594.95996,841.91998,"acquisitions,",386.4159184457821,433.50504194790005,116.76470969480363,124.88747210835515
1,594.95996,841.91998,planning,435.4240531708686,468.35103518671076,116.76470969480363,124.88747210835515
1,594.95996,841.91998,"approvals,",470.3233254136794,509.01022484133097,116.76470969480363,124.88747210835515
1,594.95996,841.91998,rail,510.92920509626776,522.9701737556215,116.76470969480363,124.88747210835515
1,594.95996,841.91998,possessions,24.875959891501626,70.62217016731735,129.4565259659779,137.57928837952943
1,594.95996,841.91998,and,72.56655183891463,86.59112669095272,129.4565259659779,137.57928837952943
1,594.95996,841.91998,delivery,88.45681582308829,118.58081983279236,129.4565259659779,137.57928837952943
1,594.95996,841.91998,type).,120.52520261183184,141.7295216129556,129.4565259659779,137.57928837952943
1,594.95996,841.91998,Data,143.64850816835872,161.22284887475962,129.4565259659779,137.57928837952943
1,594.95996,841.91998,is,163.19516019276003,169.31349803339324,129.4565259659779,137.57928837952943
1,594.95996,841.91998,shown,171.25787198836622,195.60824933457442,129.4565259659779,137.57928837952943
1,594.95996,841.91998,to,197.58054708989178,205.22432313017572,129.4565259659779,137.57928837952943
1,594.95996,841.91998,Q2,207.14330074150868,218.05852260298198,129.4565259659779,137.57928837952943
1,594.95996,841.91998,2030.,220.03082385500645,241.6530958901091,129.4565259659779,137.57928837952943
1,594.95996,841.91998,Key,22.337596637266767,43.56712411588517,201.03836973540092,213.2225133557282
1,594.95996,841.91998,Project,16.245524827103104,55.54643325742346,215.80656714853933,227.94502023029042
1,594.95996,841.91998,stages,57.95123278485986,94.84688514069028,215.80656714853933,227.94502023029042
1,594.95996,841.91998,Confirmed,303.84208153191275,336.0255163912671,239.11381854892375,245.71356300993443
1,594.95996,841.91998,"Scope,",447.64035988431755,468.6189732252763,239.11381854892375,245.71356300993443
1,594.95996,841.91998,funding,470.178156317635,494.0477600887299,239.11381854892375,245.71356300993443
1,594.95996,841.91998,and/or,495.6502536115932,515.6692215282437,239.11381854892375,245.71356300993443
1,594.95996,841.91998,timing,517.2717123835338,536.8140528196066,239.11381854892375,245.71356300993443
1,594.95996,841.91998,to,538.4165463424698,544.6271017880916,239.11381854892375,245.71356300993443
1,594.95996,841.91998,be,546.1862866479476,553.8638469491037,239.11381854892375,245.71356300993443
1,594.95996,841.91998,confirmed,447.64035988431755,478.8536268250387,249.7749442167102,256.3746886777209
1,594.95996,841.91998,Concept,16.245524827103104,41.967807443664135,261.9590878370375,268.5588322980482
1,594.95996,841.91998,design,43.48367784637141,64.01577562671761,261.9590878370375,268.5588322980482
1,594.95996,841.91998,and/or,65.61827050693324,85.63723842358381,261.9590878370375,268.5588322980482
1,594.95996,841.91998,environmental,87.15310824203029,130.96701333021537,261.9590878370375,268.5588322980482
1,594.95996,841.91998,assessment,132.569507140509,168.91861396376203,261.9590878370375,268.5588322980482
1,594.95996,841.91998,Detailed,16.245524827103104,41.791048294021664,275.66624940990573,282.2659938709164
1,594.95996,841.91998,or,43.30691876886096,49.61709832640091,275.66624940990573,282.2659938709164
1,594.95996,841.91998,reference,51.219589181690964,81.0402865787263,275.66624940990573,282.2659938709164
1,594.95996,841.91998,design,82.51284877683965,103.04494655718585,275.66624940990573,282.2659938709164
1,594.95996,841.91998,procurement,104.64744143740148,144.2295762993354,275.66624940990573,282.2659938709164
1,594.95996,841.91998,Detailed,16.245524827103104,41.791048294021664,289.373410982774,295.97315544378466
1,594.95996,841.91998,or,43.30691876886096,49.61709832640091,289.373410982774,295.97315544378466
