timeline_id,tfnsw_project_id,project_name,project_group,estimated_value_code,delivery_type,stage_name,timing_status,start_quarter,end_quarter,start_quarter_index,end_quarter_index,fill_color_hex,source_page,source_shape_type,source_x0,source_x1
TLS-0187,TFNSW-0107,Francis Road Railway Overpass Widening at Rooty Hill,Minor Projects,$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,9,curve,162.9629236098779,575.1931160976192
TLS-0188,TFNSW-0108,Greater Sydney Cycling and Micromobility Investment Program,Minor Projects,$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,9,curve,162.9629236098779,575.1931160976192
TLS-0189,TFNSW-0109,Hurstville Pedestrian Bridge,Minor Projects,$,TBA,Detailed or reference design,Confirmed,Q3 2026,Q1 2027,0,2,#7BAE27,9,curve,163.21675993530138,238.35231226065324
TLS-0190,TFNSW-0109,Hurstville Pedestrian Bridge,Minor Projects,$,TBA,Construction procurement,Confirmed,Q2 2027,Q3 2027,3,4,#DD0030,9,curve,240.1291603946179,289.8810801776212
TLS-0191,TFNSW-0109,Hurstville Pedestrian Bridge,Minor Projects,$,TBA,Construction and commissioning,Confirmed,Q4 2027,Q4 2028,5,9,#173077,9,curve,291.9117646370093,419.33759999959926
TLS-0192,TFNSW-0110,Kosciuszko Rd and Alpine Way (Intersection Upgrade),Minor Projects,$,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,9,curve,162.9629236098779,575.1931160976192
TLS-0193,TFNSW-0111,M4 Improvement Works - Coleman to Church,Minor Projects,$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2028,0,8,#20A8E1,9,curve,163.21675993530138,393.70014341982665
TLS-0194,TFNSW-0111,M4 Improvement Works - Coleman to Church,Minor Projects,$,TBA,Project staging not yet available,Not available,Q4 2028,Q2 2030,9,15,#C3AAD2,9,curve,395.9846619006384,575.1931076496195
TLS-0195,TFNSW-0112,"McEvoy Street and Botany Road, Waterloo Intersection Improvements",Minor Projects,$,TBA,Detailed or reference design,Confirmed,Q3 2026,Q3 2026,0,0,#7BAE27,9,curve,163.21675993530138,186.56970187426208
TLS-0196,TFNSW-0112,"McEvoy Street and Botany Road, Waterloo Intersection Improvements",Minor Projects,$,TBA,Construction procurement,Confirmed,Q4 2026,Q2 2027,1,3,#DD0030,9,curve,188.34655375222655,263.9897787284254
TLS-0197,TFNSW-0112,"McEvoy Street and Botany Road, Waterloo Intersection Improvements",Minor Projects,$,TBA,Construction and commissioning,Confirmed,Q3 2027,Q4 2028,4,9,#173077,9,curve,266.020476915813,419.33761747159855
TLS-0198,TFNSW-0113,North Sydney Active Transport,Minor Projects,$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2026,0,0,#20A8E1,9,curve,163.21675993530138,186.56970187426208
TLS-0199,TFNSW-0113,North Sydney Active Transport,Minor Projects,$,TBA,Detailed or reference design procurement,Confirmed,Q4 2026,Q4 2026,1,1,#EC7C0E,9,curve,189.1080620564971,212.4610039954578
TLS-0200,TFNSW-0113,North Sydney Active Transport,Minor Projects,$,TBA,Detailed or reference design,Confirmed,Q1 2027,Q2 2027,2,3,#7BAE27,9,curve,214.99936417769277,264.24361130984903
TLS-0201,TFNSW-0113,North Sydney Active Transport,Minor Projects,$,TBA,Construction procurement,Confirmed,Q3 2027,Q4 2027,4,5,#DD0030,9,curve,266.020476915813,315.77239669881624
TLS-0202,TFNSW-0113,North Sydney Active Transport,Minor Projects,$,TBA,Construction and commissioning,Confirmed,Q1 2028,Q3 2028,6,8,#173077,9,curve,317.8030835582043,393.4463085344032
TLS-0203,TFNSW-0113,North Sydney Active Transport,Minor Projects,$,TBA,Concept design and/or environmental assessment,Confirmed,Q1 2029,Q1 2029,10,10,#20A8E1,9,curve,422.1298267472565,445.4827686862173
TLS-0204,TFNSW-0113,North Sydney Active Transport,Minor Projects,$,TBA,Construction procurement,Confirmed,Q2 2029,Q3 2029,11,12,#DD0030,9,curve,447.259613364182,497.0115331471852
TLS-0205,TFNSW-0113,North Sydney Active Transport,Minor Projects,$,TBA,Construction and commissioning,Confirmed,Q4 2029,Q2 2030,13,15,#173077,9,curve,499.042251206572,574.6854761827708
