timeline_id,tfnsw_project_id,project_name,project_group,estimated_value_code,delivery_type,stage_name,timing_status,start_quarter,end_quarter,start_quarter_index,end_quarter_index,fill_color_hex,source_page,source_shape_type,source_x0,source_x1
TLS-0047,TFNSW-0022,Milton/Ulladulla Bypass,Princes Highway,$$$$$,D&C,Detailed or reference design,To be confirmed,Q1 2028,Q3 2028,6,8,#D0DDAD,3,curve,318.56457506247546,393.7001273878273
TLS-0048,TFNSW-0022,Milton/Ulladulla Bypass,Princes Highway,$$$$$,D&C,Construction and commissioning,To be confirmed,Q4 2028,Q2 2030,9,15,#9C9DC5,3,curve,395.4770331217896,574.6854788707707
TLS-0049,TFNSW-0023,Mount Ousley Safety and Reliability,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,3,curve,162.9629236098779,575.1931160976192
TLS-0050,TFNSW-0024,Narooma bridge,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
TLS-0051,TFNSW-0025,Nowra Bypass,Princes Highway,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
TLS-0052,TFNSW-0026,Barton Highway Upgrade - Stage 2,Regional NSW major road and bridge upgrades,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2027,0,4,#20A8E1,3,curve,163.21675993530138,290.1349226470444
TLS-0053,TFNSW-0026,Barton Highway Upgrade - Stage 2,Regional NSW major road and bridge upgrades,$$$,TBA,Construction procurement,To be confirmed,Q4 2027,Q3 2029,5,12,#F3AEA3,3,curve,292.6732873412792,497.2653656326089
TLS-0054,TFNSW-0026,Barton Highway Upgrade - Stage 2,Regional NSW major road and bridge upgrades,$$$,TBA,Construction and commissioning,To be confirmed,Q4 2029,Q2 2030,13,15,#9C9DC5,3,curve,499.042251206572,574.6854761827708
TLS-0055,TFNSW-0027,M1 Pacific Motorway Upgrade between Wahroonga and Beresfield,Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,3,curve,162.9629236098779,575.1931160976192
TLS-0056,TFNSW-0028,"Murray River, Swan Hill bridge replacement",Regional NSW major road and bridge upgrades,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2029,0,12,#20A8E1,3,curve,163.21675993530138,497.2653641926089
TLS-0057,TFNSW-0028,"Murray River, Swan Hill bridge replacement",Regional NSW major road and bridge upgrades,$$$,TBA,Project staging not yet available,Not available,Q4 2029,Q2 2030,13,15,#C3AAD2,3,curve,499.54989918542,575.1931241616188
TLS-0058,TFNSW-0029,"Newell Highway, Tichborne grade separation for Inland Rail",Regional NSW major road and bridge upgrades,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,3,curve,162.9629236098779,445.73659013164126
