project_id,project_name,sector,pipeline_category,estimated_value_code,estimated_value_band,value_minimum_aud_m,value_maximum_aud_m,procurement_strategy_code,procurement_strategy_name,current_phase,current_phase_definition,procurement_start_period,procurement_end_period,construction_start_period,construction_end_period,project_url
PRJ-0001,Airport Precinct Safety and Access Program (APSAP),Transport,Pipeline,TBA,To be advised,,,TBA,To be advised,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q3 2026,Q4 2026,Q3 2027,https://www.transport.nsw.gov.au/projects/current-projects/airport-precinct-safety-and-access-program
PRJ-0002,Almond Street to M1 Princes Motorway,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/picton-road-projects/picton-road-upgrade/index.html
PRJ-0003,Appin Road safety improvements,Transport,Pipeline,$$,$100M to $250M,100.0,250.0,CO,Construct Only,Construction Procurement,"Preparation, approval and release of procurement documents",Q3 2026,Q4 2026,Q1 2027,Q2 2029,https://roads-waterways.transport.nsw.gov.au/projects/appin-road-improvements/index.html
PRJ-0004,Appin Town Centre By-Pass,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning
PRJ-0005,Australia Avenue intersection upgrade,Transport,Pipeline,$$,$100M to $250M,100.0,250.0,D&C,Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q4 2026,Q1 2027,Q1 2029,https://roads-waterways.transport.nsw.gov.au/projects/homebush-bay-drive-australia-ave-upgrade/index.html
PRJ-0006,Avoca Drive upgrade Kincumber,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/avoca-drive-upgrade-at-kincumber
PRJ-0007,"Bandon Road Upgrade & Extension, Windsor Road to Richmond Road",Transport,Pipeline,$$$$,$500M to $1B,500.0,1000.0,TBA,To be advised,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q4 2026,Q1 2027,Q3 2030,https://www.transport.nsw.gov.au/projects/current-projects/bandon-road-north-west-growth-area
PRJ-0008,Barton Highway upgrade - Stage 2,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/barton-highway-corridor-upgrade-stage-2-barton-highway
PRJ-0009,Bells Line of Road safety improvements,Transport,In Planning,$,$50M to $100M,50.0,100.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/bells-line-of-road-safety-improvements
PRJ-0010,Bradfield Metro Link Road - Badgery's Creek Road to Proposed Eastern Ring Road,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/bradfield-precinct-priority-roads
PRJ-0011,Bulli Bypass,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/bulli-bypass
PRJ-0012,Burdekin Road and Townson Road upgrade,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/north-west-growth-centre-strategy/townson-burdekin-road.html
PRJ-0013,Bus Service Improvement Program,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0014,Cambridge Avenue upgrade,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/cambridge-avenue-glenfield-upgrade
PRJ-0015,Camden Valley Way,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning
PRJ-0016,Campbelltown Road,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning
PRJ-0017,Castlereagh Connection,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0018,Central Precinct Renewal Program - Main Works,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/central-precinct-renewal-program
PRJ-0019,Circular Quay renewal,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0020,Cowpasture Road,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0021,Dapto Ramps,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/south-facing-ramps-at-dapto
PRJ-0022,Devonshire Link Road - Mamre Road Stage 2 to Elizabeth Drive,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0023,Devonshire Road - Elizabeth Drive to Bringelly Road,Transport,In Planning,TBA,To be advised,,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0024,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0025,"Elizabeth Drive upgrade-Stage 1, Devonshire Road to Badgerys Creek",Transport,Pipeline,$$$,$250M to $500M,250.0,500.0,CD&C,Collaborative Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q3 2026,Q4 2026,Q3 2029,https://roads-waterways.transport.nsw.gov.au/projects/elizabeth-drive-upgrade/index.html
PRJ-0026,Epping Bridge Project,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/epping-bridge-project
PRJ-0027,Extend northbound overtaking lane on the approach to New Illawarra Road by approx 800m,Transport,Pipeline,$$,$100M to $250M,100.0,250.0,CD&C,Collaborative Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q1 2026,Q4 2026,Q1 2027,Q2 2028,https://www.transport.nsw.gov.au/
PRJ-0028,Fifteenth Avenue Upgrade,Transport,Pipeline,$$$$,$500M to $1B,500.0,1000.0,CO,Construct Only,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q2 2027,Q3 2027,Q2 2031,https://www.transport.nsw.gov.au/projects/current-projects/fifteenth-avenue-transit-corridor
PRJ-0029,Future Fleet Program,Transport,In Planning,$$$$$,Over $1B,1000.0,,,,,,,,,,https://www.transport.nsw.gov.au/
PRJ-0030,Garfield Road Central,Transport,In Planning,$$$$,$500M to $1B,500.0,1000.0,,,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/garfield-road-central
PRJ-0031,Garfield Road Upgrade West,Transport,In Planning,$$$,$250M to $500M,250.0,500.0,,,,,,,,,https://roads-waterways.transport.nsw.gov.au/projects/north-west-growth-centre-strategy/garfield-road.html
PRJ-0032,Garfield Road upgrade East,Transport,Pipeline,$$$,$250M to $500M,250.0,500.0,CD&C,Collaborative Design and Construct,Construction Procurement,"Preparation, approval and release of procurement documents",Q2 2026,Q3 2026,Q4 2026,Q2 2029,https://roads-waterways.transport.nsw.gov.au/projects/north-west-growth-centre-strategy/garfield-road.html
PRJ-0033,Glebe Island Bridge,Transport,In Planning,$$,$100M to $250M,100.0,250.0,,,,,,,,,https://www.transport.nsw.gov.au/gib
PRJ-0034,"Goonoo Goonoo Road widening, Tamworth",Transport,Pipeline,$,$50M to $100M,50.0,100.0,TBA,To be advised,Design,Preparation and approval of project design,Q1 2027,Q3 2028,Q1 2029,Q4 2030,https://www.transport.nsw.gov.au/projects/current-projects/goonoo-goonoo-road-tamworth
